session_id,station_id,station_name,latitude,longitude,total_chargers,start_time,duration_minutes,energy_kwh,charger_type,vehicle_model,cost_inr
S000021,ST019,Tata Power EZ - Wakad,18.5985,73.7615,4,2024-03-31 10:29:00,68,16.4,AC Level 2,MG ZS EV,291
S000022,ST003,ChargeZone - Baner Road,18.559,73.7868,5,2024-12-29 11:08:00,110,28.5,AC Level 2,Mahindra XUV400,422
S000023,ST019,Tata Power EZ - Wakad,18.5985,73.7615,4,2024-07-01 17:03:00,52,13.4,AC Level 2,Mahindra BE 6e,209
S000024,ST043,Jio-BP EV - Viman Nagar,18.5679,73.9143,5,2024-03-22 09:14:00,84,21.5,AC Level 2,MG Comet EV,381
S000025,ST045,MG EV Hub - Baner,18.559,73.7868,4,2024-08-15 15:25:00,118,26.9,AC Level 2,Ather 450X,400
S000026,ST005,ChargeZone - Pimpri Chinchwad,18.6279,73.8009,4,2024-12-18 17:29:00,26,6.2,DC Fast,Hyundai Ioniq 5,109
S000027,ST012,Tata Power EZ - Westend Mall Aundh,18.5584,73.807,6,2024-04-08 19:07:00,20,4.5,DC Fast,Mahindra BE 6e,73
S000028,ST043,Jio-BP EV - Viman Nagar,18.5679,73.9143,5,2024-03-01 14:06:00,110,28.3,AC Level 2,Tata Nexon EV,503
S000029,ST011,Tata Power EZ - Phoenix Marketcity,18.5635,73.917,8,2024-02-27 08:54:00,74,16.7,DC Fast,Mahindra XUV400,288
S000030,ST007,ChargeZone - Kharadi,18.5538,73.9394,4,2024-11-16 00:07:00,73,16.5,DC Fast,Tata Tigor EV,236
S000031,ST005,ChargeZone - Pimpri Chinchwad,18.6279,73.8009,4,2024-08-19 19:17:00,39,7.7,DC Fast,Tata Nexon EV,123
S000032,ST033,BPCL EV - Wakad,18.5985,73.7615,4,2024-04-29 13:59:00,37,9.3,DC Fast,Ola S1 Pro,139
S000033,ST011,Tata Power EZ - Phoenix Marketcity,18.5635,73.917,8,2024-12-31 05:14:00,36,8.4,DC Fast,Mahindra BE 6e,120
S000034,ST044,MG EV Hub - Hinjewadi,18.5912,73.7389,4,2024-05-06 17:20:00,28,6.7,DC Fast,Tata Punch EV,106
S000035,ST023,Ather Grid - Baner,18.559,73.7868,3,2024-10-17 23:47:00,91,23.1,AC Level 2,BYD Atto 3,330
S000036,ST033,BPCL EV - Wakad,18.5985,73.7615,4,2024-08-26 18:45:00,24,4.5,DC Fast,Hyundai Kona Electric,79
S000037,ST008,ChargeZone - Deccan Gymkhana,18.5197,73.8419,3,2024-02-14 19:29:00,56,12.6,AC Level 2,Tata Nexon EV,213
S000038,ST048,MG EV Hub - Koregaon Park,18.5362,73.8938,3,2024-11-24 06:45:00,53,11.6,DC Fast,Ather 450X,209
S000039,ST006,ChargeZone - Viman Nagar,18.5679,73.9143,5,2024-07-08 14:44:00,97,21.0,AC Level 2,Tata Nexon EV,310
S000040,ST030,BPCL EV - Hadapsar,18.5018,73.926,4,2024-12-16 20:54:00,32,7.2,DC Fast,MG Comet EV,123
S000041,ST037,HPCL EV - Viman Nagar,18.5679,73.9143,4,2024-11-23 08:40:00,56,14.4,AC Level 2,Hyundai Kona Electric,202
S000042,ST033,BPCL EV - Wakad,18.5985,73.7615,4,2024-10-29 09:51:00,32,7.3,DC Fast,MG ZS EV,115
S000043,ST004,ChargeZone - Wakad,18.5985,73.7615,5,2024-10-02 18:35:00,88,20.0,AC Level 2,Tata Tiago EV,326
S000044,ST034,HPCL EV - Shivajinagar,18.5308,73.8474,4,2024-10-23 16:58:00,77,20.4,AC Level 2,Tata Tiago EV,304
S000045,ST003,ChargeZone - Baner Road,18.559,73.7868,5,2024-11-15 07:32:00,74,16.8,AC Level 2,Ola S1 Pro,246
S000046,ST002,ChargeZone - Magarpatta City,18.5089,73.9259,6,2024-06-11 10:08:00,64,13.8,AC Level 2,Tata Nexon EV,210
S000047,ST012,Tata Power EZ - Westend Mall Aundh,18.5584,73.807,6,2024-02-16 20:42:00,80,16.9,AC Level 2,Tata Tigor EV,296
S000048,ST035,HPCL EV - Kharadi,18.5538,73.9394,4,2024-02-09 23:56:00,46,10.1,DC Fast,BYD Atto 3,144
S000049,ST011,Tata Power EZ - Phoenix Marketcity,18.5635,73.917,8,2024-12-18 16:30:00,55,13.2,DC Fast,Tata Tigor EV,191
S000050,ST040,Jio-BP EV - Baner,18.559,73.7868,5,2024-05-29 09:41:00,45,8.3,DC Fast,Hyundai Kona Electric,130
S000051,ST047,MG EV Hub - Wakad,18.5985,73.7615,3,2024-01-20 07:33:00,120,22.2,AC Level 2,Hyundai Ioniq 5,324
S000052,ST033,BPCL EV - Wakad,18.5985,73.7615,4,2024-07-30 22:38:00,34,8.4,DC Fast,Tata Nexon EV,121
S000053,ST045,MG EV Hub - Baner,18.559,73.7868,4,2024-07-07 09:59:00,49,9.6,AC Level 2,Ather 450X,172
S000054,ST042,Jio-BP EV - Kharadi,18.5538,73.9394,5,2024-01-08 09:06:00,63,12.1,DC Fast,Tata Tigor EV,201
S000055,ST033,BPCL EV - Wakad,18.5985,73.7615,4,2024-08-29 14:54:00,52,11.2,AC Level 2,Mahindra XUV400,192
S000056,ST046,MG EV Hub - Magarpatta,18.5089,73.9259,4,2024-09-27 16:52:00,39,10.5,DC Fast,Mahindra XUV400,162
S000057,ST004,ChargeZone - Wakad,18.5985,73.7615,5,2024-04-25 21:03:00,60,11.1,DC Fast,Ather 450X,171
S000058,ST012,Tata Power EZ - Westend Mall Aundh,18.5584,73.807,6,2024-08-31 15:41:00,99,22.9,AC Level 2,Ather 450X,331
S000059,ST019,Tata Power EZ - Wakad,18.5985,73.7615,4,2024-12-14 06:37:00,44,7.9,DC Fast,Tata Tigor EV,121
S000060,ST002,ChargeZone - Magarpatta City,18.5089,73.9259,6,2024-04-13 16:58:00,96,19.9,AC Level 2,Tata Tiago EV,298
S000061,ST017,Tata Power EZ - Pimpri,18.6279,73.8009,5,2024-01-14 06:04:00,20,4.9,DC Fast,Mahindra BE 6e,75
S000062,ST030,BPCL EV - Hadapsar,18.5018,73.926,4,2024-01-12 21:45:00,70,15.8,AC Level 2,Ola S1 Pro,260
S000063,ST043,Jio-BP EV - Viman Nagar,18.5679,73.9143,5,2024-12-09 21:54:00,31,6.8,DC Fast,Tata Tiago EV,104
S000064,ST029,BPCL EV - Kothrud Depot,18.5074,73.8077,4,2024-11-21 21:26:00,41,8.1,DC Fast,Mahindra XUV400,137
S000065,ST002,ChargeZone - Magarpatta City,18.5089,73.9259,6,2024-02-20 22:10:00,73,14.0,DC Fast,Hyundai Kona Electric,225
S000066,ST044,MG EV Hub - Hinjewadi,18.5912,73.7389,4,2024-10-09 13:36:00,21,5.7,DC Fast,Ola S1 Pro,82
S000067,ST025,Ather Grid - Kothrud,18.5074,73.8077,3,2024-07-16 07:36:00,41,7.8,DC Fast,BYD Atto 3,124
S000068,ST009,ChargeZone - Katraj,18.453,73.8671,3,2024-02-22 19:51:00,97,20.3,AC Level 2,BYD Atto 3,309
S000069,ST044,MG EV Hub - Hinjewadi,18.5912,73.7389,4,2024-10-10 22:20:00,47,9.6,DC Fast,MG ZS EV,158
S000070,ST031,BPCL EV - Swargate,18.5018,73.8674,4,2024-07-31 06:05:00,35,7.3,DC Fast,Kia EV6,114
S000071,ST048,MG EV Hub - Koregaon Park,18.5362,73.8938,3,2024-01-11 08:56:00,53,13.6,DC Fast,Tata Nexon EV,231
S000072,ST032,BPCL EV - Baner,18.559,73.7868,4,2024-10-22 10:04:00,72,16.8,AC Level 2,BYD Atto 3,278
S000073,ST013,Tata Power EZ - Hadapsar,18.5018,73.926,4,2024-11-20 19:57:00,23,5.8,DC Fast,Tata Tiago EV,87
S000074,ST043,Jio-BP EV - Viman Nagar,18.5679,73.9143,5,2024-04-15 19:53:00,67,17.2,DC Fast,Ola S1 Pro,248
S000075,ST046,MG EV Hub - Magarpatta,18.5089,73.9259,4,2024-11-25 07:56:00,45,9.5,AC Level 2,MG Comet EV,140
S000076,ST001,ChargeZone - Hinjewadi Phase 1,18.5912,73.7389,6,2024-11-17 12:42:00,112,27.7,AC Level 2,Mahindra BE 6e,410
S000077,ST012,Tata Power EZ - Westend Mall Aundh,18.5584,73.807,6,2024-06-27 01:55:00,37,6.9,DC Fast,BYD Atto 3,103
S000078,ST021,Ather Grid - Koregaon Park,18.5362,73.8938,3,2024-05-12 07:16:00,73,15.6,AC Level 2,Tata Tiago EV,279
S000079,ST041,Jio-BP EV - Wakad,18.5985,73.7615,5,2024-01-11 21:37:00,58,15.6,AC Level 2,Kia EV6,221
S000080,ST043,Jio-BP EV - Viman Nagar,18.5679,73.9143,5,2024-04-22 16:25:00,71,12.8,DC Fast,Mahindra XUV400,182
S000081,ST042,Jio-BP EV - Kharadi,18.5538,73.9394,5,2024-03-30 21:39:00,49,11.7,DC Fast,Ola S1 Pro,209
S000082,ST007,ChargeZone - Kharadi,18.5538,73.9394,4,2024-12-08 07:58:00,59,13.1,DC Fast,Tata Tigor EV,208
S000083,ST048,MG EV Hub - Koregaon Park,18.5362,73.8938,3,2024-08-08 08:49:00,34,9.0,DC Fast,Hyundai Kona Electric,138
S000084,ST038,HPCL EV - Baner,18.559,73.7868,3,2024-09-27 17:29:00,54,10.6,DC Fast,Tata Tiago EV,152
S000085,ST022,Ather Grid - FC Road,18.5308,73.8474,3,2024-02-01 16:53:00,24,5.2,DC Fast,Tata Tigor EV,83
S000086,ST016,Tata Power EZ - Koregaon Park,18.5362,73.8938,4,2024-05-24 20:51:00,55,14.8,AC Level 2,Tata Punch EV,242
S000087,ST040,Jio-BP EV - Baner,18.559,73.7868,5,2024-03-01 14:37:00,48,11.8,DC Fast,Mahindra BE 6e,201
S000088,ST004,ChargeZone - Wakad,18.5985,73.7615,5,2024-04-09 14:10:00,75,14.5,AC Level 2,Tata Tigor EV,220
S000089,ST039,Jio-BP EV - Hinjewadi,18.5912,73.7389,6,2024-09-20 17:14:00,29,6.9,DC Fast,Mahindra XUV400,110
S000090,ST014,Tata Power EZ - Kharadi,18.5538,73.9394,5,2024-12-14 17:00:00,32,8.2,DC Fast,Hyundai Kona Electric,134
S000091,ST018,Tata Power EZ - Kothrud,18.5074,73.8077,4,2024-03-22 22:28:00,43,10.2,DC Fast,Tata Tiago EV,155
S000092,ST024,Ather Grid - Hinjewadi,18.5912,73.7389,3,2024-09-04 13:44:00,36,9.2,DC Fast,Mahindra BE 6e,148
S000093,ST001,ChargeZone - Hinjewadi Phase 1,18.5912,73.7389,6,2024-12-30 00:07:00,93,19.8,AC Level 2,Ather 450X,286
S000094,ST001,ChargeZone - Hinjewadi Phase 1,18.5912,73.7389,6,2024-05-05 19:13:00,70,17.4,DC Fast,Hyundai Kona Electric,293
S000095,ST036,HPCL EV - Hinjewadi,18.5912,73.7389,4,2024-12-24 08:30:00,27,6.0,DC Fast,Tata Nexon EV,103
S000096,ST003,ChargeZone - Baner Road,18.559,73.7868,5,2024-10-18 23:24:00,108,27.3,AC Level 2,Tata Tiago EV,457
S000097,ST003,ChargeZone - Baner Road,18.559,73.7868,5,2024-04-09 07:17:00,115,28.9,AC Level 2,Tata Nexon EV,468
S000098,ST003,ChargeZone - Baner Road,18.559,73.7868,5,2024-04-22 22:10:00,51,9.6,DC Fast,Mahindra BE 6e,151
S000099,ST008,ChargeZone - Deccan Gymkhana,18.5197,73.8419,3,2024-10-24 20:07:00,53,12.3,DC Fast,Ola S1 Pro,197
S000100,ST028,Ather Grid - Pimpri,18.6279,73.8009,3,2024-09-23 14:56:00,36,9.6,DC Fast,Hyundai Ioniq 5,148
S000101,ST044,MG EV Hub - Hinjewadi,18.5912,73.7389,4,2024-07-01 09:44:00,74,13.4,AC Level 2,Ather 450X,210
S000102,ST049,MG EV Hub - Kharadi,18.5538,73.9394,3,2024-09-15 03:17:00,23,4.4,DC Fast,Kia EV6,78
S000103,ST034,HPCL EV - Shivajinagar,18.5308,73.8474,4,2024-04-22 08:39:00,118,23.5,AC Level 2,Tata Nexon EV,416
S000104,ST019,Tata Power EZ - Wakad,18.5985,73.7615,4,2024-07-13 05:24:00,24,4.7,DC Fast,Ather 450X,75
S000105,ST017,Tata Power EZ - Pimpri,18.6279,73.8009,5,2024-08-19 07:47:00,32,6.5,DC Fast,Tata Punch EV,113
S000106,ST029,BPCL EV - Kothrud Depot,18.5074,73.8077,4,2024-05-27 20:02:00,59,12.5,AC Level 2,Ather 450X,195
S000107,ST028,Ather Grid - Pimpri,18.6279,73.8009,3,2024-02-03 17:06:00,65,15.0,AC Level 2,MG ZS EV,265
S000108,ST039,Jio-BP EV - Hinjewadi,18.5912,73.7389,6,2024-08-19 21:31:00,49,12.6,AC Level 2,Ather 450X,227
S000109,ST025,Ather Grid - Kothrud,18.5074,73.8077,3,2024-03-21 11:07:00,97,20.3,AC Level 2,Kia EV6,307
S000110,ST020,Tata Power EZ - Magarpatta,18.5089,73.9259,5,2024-08-13 08:14:00,46,9.5,AC Level 2,MG Comet EV,155
S000111,ST041,Jio-BP EV - Wakad,18.5985,73.7615,5,2024-03-28 06:16:00,120,25.6,AC Level 2,Tata Nexon EV,443
S000112,ST002,ChargeZone - Magarpatta City,18.5089,73.9259,6,2024-08-17 22:15:00,70,16.6,AC Level 2,Tata Tiago EV,235
S000113,ST001,ChargeZone - Hinjewadi Phase 1,18.5912,73.7389,6,2024-05-15 18:00:00,32,7.4,DC Fast,Tata Tiago EV,108
S000114,ST044,MG EV Hub - Hinjewadi,18.5912,73.7389,4,2024-07-04 07:44:00,66,16.7,DC Fast,Tata Tiago EV,262
S000115,ST015,Tata Power EZ - Hinjewadi,18.5912,73.7389,6,2024-02-02 15:07:00,68,13.7,AC Level 2,Tata Tigor EV,231
S000116,ST007,ChargeZone - Kharadi,18.5538,73.9394,4,2024-08-06 17:24:00,70,18.4,DC Fast,MG Comet EV,304
S000117,ST024,Ather Grid - Hinjewadi,18.5912,73.7389,3,2024-06-11 13:41:00,72,18.8,DC Fast,Tata Nexon EV,323
S000118,ST013,Tata Power EZ - Hadapsar,18.5018,73.926,4,2024-12-17 19:24:00,109,28.7,AC Level 2,MG Comet EV,474
S000119,ST003,ChargeZone - Baner Road,18.559,73.7868,5,2024-04-10 09:00:00,64,13.5,DC Fast,Kia EV6,218
S000120,ST005,ChargeZone - Pimpri Chinchwad,18.6279,73.8009,4,2024-05-14 13:08:00,54,13.7,DC Fast,MG Comet EV,215
S000121,ST031,BPCL EV - Swargate,18.5018,73.8674,4,2024-09-17 11:47:00,87,17.9,AC Level 2,Mahindra BE 6e,297
S000122,ST046,MG EV Hub - Magarpatta,18.5089,73.9259,4,2024-11-12 08:39:00,77,17.5,AC Level 2,Ola S1 Pro,271
S000123,ST012,Tata Power EZ - Westend Mall Aundh,18.5584,73.807,6,2024-10-31 14:02:00,20,5.1,DC Fast,Mahindra BE 6e,73
S000124,ST043,Jio-BP EV - Viman Nagar,18.5679,73.9143,5,2024-05-29 09:03:00,50,12.1,DC Fast,MG ZS EV,185
S000125,ST042,Jio-BP EV - Kharadi,18.5538,73.9394,5,2024-10-01 08:14:00,96,19.8,AC Level 2,Ather 450X,294
S000126,ST036,HPCL EV - Hinjewadi,18.5912,73.7389,4,2024-07-17 14:25:00,56,11.5,DC Fast,MG ZS EV,166
S000127,ST010,ChargeZone - Pashan,18.5371,73.7977,3,2024-11-23 12:27:00,116,30.7,AC Level 2,Ola S1 Pro,504
S000128,ST008,ChargeZone - Deccan Gymkhana,18.5197,73.8419,3,2024-12-28 22:13:00,27,6.5,DC Fast,Ather 450X,115
S000129,ST034,HPCL EV - Shivajinagar,18.5308,73.8474,4,2024-06-03 18:21:00,65,12.3,DC Fast,Tata Tiago EV,197
S000130,ST010,ChargeZone - Pashan,18.5371,73.7977,3,2024-04-13 07:35:00,110,26.6,AC Level 2,MG ZS EV,396
S000131,ST032,BPCL EV - Baner,18.559,73.7868,4,2024-04-05 21:39:00,119,30.7,AC Level 2,Ola S1 Pro,464
S000132,ST004,ChargeZone - Wakad,18.5985,73.7615,5,2024-12-04 21:51:00,85,16.1,AC Level 2,Mahindra BE 6e,238
S000133,ST027,Ather Grid - Wakad,18.5985,73.7615,3,2024-12-31 22:21:00,23,5.1,DC Fast,Hyundai Kona Electric,85
S000134,ST044,MG EV Hub - Hinjewadi,18.5912,73.7389,4,2024-10-15 13:20:00,47,12.5,DC Fast,Ola S1 Pro,186
S000135,ST047,MG EV Hub - Wakad,18.5985,73.7615,3,2024-11-01 22:14:00,52,12.7,DC Fast,MG Comet EV,195
S000136,ST011,Tata Power EZ - Phoenix Marketcity,18.5635,73.917,8,2024-08-23 19:07:00,57,14.5,AC Level 2,Hyundai Kona Electric,241
S000137,ST003,ChargeZone - Baner Road,18.559,73.7868,5,2024-04-01 00:31:00,111,29.9,AC Level 2,Ather 450X,506
S000138,ST046,MG EV Hub - Magarpatta,18.5089,73.9259,4,2024-08-14 11:31:00,58,12.0,AC Level 2,MG Comet EV,170
S000139,ST047,MG EV Hub - Wakad,18.5985,73.7615,3,2024-05-27 07:42:00,74,16.0,DC Fast,Tata Tigor EV,270
S000140,ST045,MG EV Hub - Baner,18.559,73.7868,4,2024-03-12 06:51:00,50,11.7,DC Fast,Hyundai Ioniq 5,188
S000141,ST044,MG EV Hub - Hinjewadi,18.5912,73.7389,4,2024-07-19 20:04:00,117,29.5,AC Level 2,MG ZS EV,482
S000142,ST015,Tata Power EZ - Hinjewadi,18.5912,73.7389,6,2024-03-07 08:53:00,48,10.4,AC Level 2,Mahindra BE 6e,154
S000143,ST044,MG EV Hub - Hinjewadi,18.5912,73.7389,4,2024-12-26 18:58:00,73,14.7,DC Fast,Kia EV6,215
S000144,ST040,Jio-BP EV - Baner,18.559,73.7868,5,2024-10-25 15:28:00,66,14.0,DC Fast,MG Comet EV,202
S000145,ST007,ChargeZone - Kharadi,18.5538,73.9394,4,2024-01-16 15:13:00,38,7.3,DC Fast,Hyundai Kona Electric,110
S000146,ST010,ChargeZone - Pashan,18.5371,73.7977,3,2024-04-12 13:09:00,37,8.3,DC Fast,Tata Tigor EV,119
S000147,ST005,ChargeZone - Pimpri Chinchwad,18.6279,73.8009,4,2024-02-29 18:23:00,51,13.1,DC Fast,Ather 450X,205
S000148,ST016,Tata Power EZ - Koregaon Park,18.5362,73.8938,4,2024-03-01 12:54:00,34,7.7,DC Fast,MG Comet EV,118
S000149,ST021,Ather Grid - Koregaon Park,18.5362,73.8938,3,2024-03-22 19:52:00,115,21.3,AC Level 2,Kia EV6,376
S000150,ST028,Ather Grid - Pimpri,18.6279,73.8009,3,2024-05-02 20:25:00,49,10.5,AC Level 2,Mahindra XUV400,153
S000151,ST013,Tata Power EZ - Hadapsar,18.5018,73.926,4,2024-09-16 12:25:00,91,24.4,AC Level 2,Ather 450X,409
S000152,ST008,ChargeZone - Deccan Gymkhana,18.5197,73.8419,3,2024-07-13 14:39:00,46,10.5,DC Fast,Kia EV6,147
S000153,ST042,Jio-BP EV - Kharadi,18.5538,73.9394,5,2024-02-27 09:07:00,56,12.9,DC Fast,Tata Tiago EV,207
S000154,ST037,HPCL EV - Viman Nagar,18.5679,73.9143,4,2024-10-18 14:35:00,62,13.0,AC Level 2,MG Comet EV,202
S000155,ST034,HPCL EV - Shivajinagar,18.5308,73.8474,4,2024-06-24 21:35:00,51,11.5,DC Fast,Mahindra XUV400,176
S000156,ST028,Ather Grid - Pimpri,18.6279,73.8009,3,2024-11-29 07:19:00,38,8.3,DC Fast,Hyundai Kona Electric,121
S000157,ST016,Tata Power EZ - Koregaon Park,18.5362,73.8938,4,2024-07-03 10:41:00,54,11.1,DC Fast,Kia EV6,169
S000158,ST008,ChargeZone - Deccan Gymkhana,18.5197,73.8419,3,2024-03-16 16:56:00,66,15.5,DC Fast,Ather 450X,253
S000159,ST030,BPCL EV - Hadapsar,18.5018,73.926,4,2024-01-11 11:01:00,94,20.7,AC Level 2,Hyundai Kona Electric,308
S000160,ST001,ChargeZone - Hinjewadi Phase 1,18.5912,73.7389,6,2024-09-13 09:27:00,106,25.8,AC Level 2,Tata Nexon EV,408
S000161,ST031,BPCL EV - Swargate,18.5018,73.8674,4,2024-01-12 04:07:00,22,5.0,DC Fast,Tata Tiago EV,78
S000162,ST001,ChargeZone - Hinjewadi Phase 1,18.5912,73.7389,6,2024-12-12 13:40:00,55,12.4,DC Fast,MG Comet EV,180
S000163,ST046,MG EV Hub - Magarpatta,18.5089,73.9259,4,2024-08-03 20:28:00,58,12.0,AC Level 2,Tata Tigor EV,201
S000164,ST035,HPCL EV - Kharadi,18.5538,73.9394,4,2024-10-04 17:44:00,65,12.3,DC Fast,Mahindra BE 6e,181
S000165,ST012,Tata Power EZ - Westend Mall Aundh,18.5584,73.807,6,2024-11-12 20:29:00,93,23.2,AC Level 2,Tata Nexon EV,365
S000166,ST035,HPCL EV - Kharadi,18.5538,73.9394,4,2024-05-12 07:04:00,56,12.9,DC Fast,MG ZS EV,202
S000167,ST016,Tata Power EZ - Koregaon Park,18.5362,73.8938,4,2024-09-20 02:59:00,40,8.4,DC Fast,Ola S1 Pro,130
S000168,ST038,HPCL EV - Baner,18.559,73.7868,3,2024-02-01 02:02:00,77,16.2,AC Level 2,Kia EV6,242
S000169,ST003,ChargeZone - Baner Road,18.559,73.7868,5,2024-12-12 08:44:00,34,8.6,DC Fast,Hyundai Kona Electric,124
S000170,ST003,ChargeZone - Baner Road,18.559,73.7868,5,2024-07-23 13:14:00,48,12.6,DC Fast,Mahindra BE 6e,188
S000171,ST017,Tata Power EZ - Pimpri,18.6279,73.8009,5,2024-09-08 22:05:00,108,21.4,AC Level 2,Tata Tigor EV,339
S000172,ST008,ChargeZone - Deccan Gymkhana,18.5197,73.8419,3,2024-01-21 02:27:00,116,31.2,AC Level 2,Ather 450X,535
S000173,ST012,Tata Power EZ - Westend Mall Aundh,18.5584,73.807,6,2024-04-25 12:30:00,59,13.3,DC Fast,Tata Tiago EV,208
S000174,ST002,ChargeZone - Magarpatta City,18.5089,73.9259,6,2024-12-01 09:02:00,26,6.8,DC Fast,Tata Nexon EV,122
S000175,ST016,Tata Power EZ - Koregaon Park,18.5362,73.8938,4,2024-06-25 12:47:00,118,21.8,AC Level 2,Kia EV6,318
S000176,ST035,HPCL EV - Kharadi,18.5538,73.9394,4,2024-08-02 15:22:00,90,16.3,AC Level 2,Mahindra BE 6e,283
S000177,ST030,BPCL EV - Hadapsar,18.5018,73.926,4,2024-05-29 19:43:00,73,18.9,AC Level 2,Ola S1 Pro,281
S000178,ST028,Ather Grid - Pimpri,18.6279,73.8009,3,2024-06-03 18:24:00,94,18.5,AC Level 2,Kia EV6,300
S000179,ST032,BPCL EV - Baner,18.559,73.7868,4,2024-03-25 19:03:00,32,7.3,DC Fast,Tata Punch EV,125
S000180,ST010,ChargeZone - Pashan,18.5371,73.7977,3,2024-10-07 18:35:00,23,5.5,DC Fast,Ather 450X,97
S000181,ST003,ChargeZone - Baner Road,18.559,73.7868,5,2024-07-11 20:17:00,52,11.2,DC Fast,Tata Punch EV,180
S000182,ST050,MG EV Hub - Hadapsar,18.5018,73.926,3,2024-04-13 07:30:00,45,12.1,DC Fast,MG ZS EV,170
S000183,ST020,Tata Power EZ - Magarpatta,18.5089,73.9259,5,2024-04-13 17:55:00,63,14.3,DC Fast,Tata Nexon EV,208
S000184,ST012,Tata Power EZ - Westend Mall Aundh,18.5584,73.807,6,2024-04-05 20:44:00,52,11.9,DC Fast,Tata Nexon EV,190
S000185,ST025,Ather Grid - Kothrud,18.5074,73.8077,3,2024-12-03 17:29:00,29,5.9,DC Fast,MG ZS EV,99
S000186,ST011,Tata Power EZ - Phoenix Marketcity,18.5635,73.917,8,2024-05-18 01:43:00,99,21.9,AC Level 2,Mahindra BE 6e,393
S000187,ST015,Tata Power EZ - Hinjewadi,18.5912,73.7389,6,2024-08-13 09:28:00,51,13.3,DC Fast,Kia EV6,198
S000188,ST008,ChargeZone - Deccan Gymkhana,18.5197,73.8419,3,2024-04-22 17:22:00,103,19.7,AC Level 2,Tata Punch EV,318
S000189,ST011,Tata Power EZ - Phoenix Marketcity,18.5635,73.917,8,2024-04-06 13:06:00,102,22.2,AC Level 2,MG Comet EV,355
S000190,ST018,Tata Power EZ - Kothrud,18.5074,73.8077,4,2024-11-28 06:11:00,117,29.1,AC Level 2,Ola S1 Pro,430
S000191,ST041,Jio-BP EV - Wakad,18.5985,73.7615,5,2024-10-29 09:14:00,62,16.2,DC Fast,MG ZS EV,246
S000192,ST022,Ather Grid - FC Road,18.5308,73.8474,3,2024-02-26 14:21:00,82,21.9,AC Level 2,BYD Atto 3,338
S000193,ST005,ChargeZone - Pimpri Chinchwad,18.6279,73.8009,4,2024-10-15 21:23:00,47,9.7,DC Fast,Hyundai Kona Electric,154
